"KABUPATEN","CHILDREN","FEMALE","ELDERLY","FHEAD","FAMILYSIZE","NOELECTRIC","LOWEDU","GROWTH","POVERTY","ILLITERATE","NOTRAINING","DPRONE","RENTED","NOSEWER","TAPWATER","NO WORK","CACAT","P.KRONIS","JAMKES"
"SIMEULUE","7.999956086","48.77590901","2.184700509","13.11146752","4.058094984","1.425643767","25.65208668","1.249634166","20.2","5.019033186","92.71585138","48.81047848","4.882829903","22.89049274","5.595651787","2.0229480936771","2.3880694002209","2.3701869078133","4.75"
"ACEH SINGKIL","13.51717522","49.68611677","2.296480805","13.16721954","4.479568758","1.07433655","28.7247149","2.287937103","22.11","10.98267021","97.90033172","73.08504222","6.67973462","20.01281665","13.40470446","2.7765708953326","1.8454740398986","1.913237143488","2.01"
"ACEH SELATAN","9.43677942","50.77554271","4.903403386","20.73676104","4.236907731","0.50242042","29.7794412","1.521355784","14.07","7.717708677","98.76228546","77.13620361","3.337245122","31.78817662","6.98070999","5.7491154084465","6.4624082136591","4.0645489541034","10.25"
"ACEH TENGGARA","11.18920899","50.09882757","2.735836322","17.78283418","4.252137015","2.01709612","16.7915821","2.109057338","14.86","6.673470052","99.87905623","94.28079454","4.046491606","43.54590739","20.30420433","3.149587913348","2.5407758788745","1.6905221323042","12.13"
"ACEH TIMUR","11.68376732","50.048859","2.756701347","19.47374379","4.296572234","0.600965249","32.83977649","2.022934328","15.25","6.648225739","99.75611513","82.23653745","2.324624139","26.79337703","12.98558301","9.7403891619084","9.4093183442719","11.648379076309","4.84"
"ACEH TENGAH","11.31201243","49.76882138","2.960561912","12.68291786","3.737517465","0","22.40793087","2.030606661","16.84","4.782372385","97.65791602","85.70299287","8.956540922","16.3596588","12.6865946","2.4378284121717","3.3367990122815","2.8213768011597","6.13"
"ACEH BARAT","10.2378248","49.46048541","3.381555874","17.03972289","4.066198068","2.297081046","26.01127542","2.021413499","20.28","5.45605905","93.65568092","36.26511637","8.096501712","23.30706747","9.356452691","3.1540911369055","3.5025017869907","3.3618446946788","11.23"
"ACEH BESAR","11.57270467","48.93868967","3.948958835","21.38505494","4.275582446","0.818260121","23.68550412","2.030971805","15.41","6.127999822","97.88029663","77.29354425","5.947354047","15.0459024","12.57536606","7.52938978819","6.1082591461433","7.8987030690513","17.85"
"PIDIE","10.33616136","51.58659067","5.429495688","25.91575259","3.932434159","1.957438265","26.04742821","1.557670482","21.43","8.117851976","97.42475954","46.90825136","3.344527386","43.46699275","4.498001497","9.2984061090397","9.3605822340633","9.1821943188473","11.05"
"BIREUEN","9.788798161","50.95862698","4.389741815","28.44422389","4.220904103","1.097357727","28.95379069","2.073580522","15.87","4.87369459","99.5028183","76.21205595","5.54764892","22.08198348","12.37617273","10.297788166696","12.781857170706","12.277164991504","8.72"
"ACEH UTARA","10.24311658","50.6176624","3.71497067","24.22999256","4.252998902","2.104368158","32.63180691","1.537617838","19.78","6.970597461","99.29216707","67.98597088","1.455344174","28.3537039","20.9466114","15.74718902948","15.293391383456","15.677408826042","5.02"
"ACEH BARAT DAYA","9.874918163","50.4634575","4.357534199","20.59619753","4.515200548","0.955285185","31.37247022","1.685528605","18.31","7.161864562","98.99803964","84.49761957","2.417773905","43.1496406","0.336061238","3.9615858351937","3.5187471570602","3.1765688448579","6.01"
"GAYO LUES","11.67703645","50.41037861","3.274203512","13.6199794","3.889804325","0.699450738","28.04046235","1.695657416","21.97","9.677379064","99.02162719","90.25489186","8.444902163","45.76038448","16.59800893","1.0947836826528","1.4653323802716","1.3295702176271","14.24"
"ACEH TAMIANG","11.20571493","49.57655566","3.275312251","14.66173025","4.136002083","0.282011975","27.48373822","1.504994278","14.69","4.536486822","98.57258554","96.39458537","6.506522431","9.840048593","21.16102161","5.5002706103786","4.9938267593736","5.7752306348338","13.76"
"NAGAN RAYA","9.605023016","49.57113759","4.213876829","16.34745272","3.872563682","0.489675801","28.96754512","1.997559176","19.34","10.2114787","98.52614821","79.47703589","1.290524894","27.18544963","0","2.8227706333117","3.9476249268958","2.6687402202191","8.08"
"ACEH JAYA","10.16952956","48.1627753","3.938112174","16.2370704","3.717425759","0","31.2934946","2.080499653","14.85","8.814088553","94.96996997","26.9686353","2.047881215","21.04604605","15.06089423","1.3119391297604","1.9072064461628","2.4825043919016","8.92"
"BENER MERIAH","10.37112748","49.24399958","2.501674127","14.45091294","3.754035459","0.838846256","19.1778453","1.915720117","21.14","4.88470492","93.99841228","58.10267266","5.469700979","7.827467584","21.15109817","1.1519913004392","1.2021573851452","1.3698893144794","9.17"
"PIDIE JAYA","9.960511275","51.26844539","5.952535592","26.30834127","4.190175534","0.283031705","24.30462479","2.111716113","21.82","6.967366842","95.84705402","40.08980814","0.721186556","35.67288066","24.04408763","3.3660762162248","3.2003379036974","2.9490539411917","7.06"
"KOTA BANDA ACEH","10.50657821","48.58557858","2.195185129","18.99760991","3.746751648","0.09705222","12.57666795","1.874785518","7.44","3.074550395","88.35518215","48.41312378","32.85434924","1.454334758","60.26942855","1.6624400299881","1.6862694132172","1.5100461749657","42.56"
"KOTA SABANG","12.11306711","49.24976371","3.943171078","14.96917386","4.17459926","0","13.89655293","1.00268409","17.66","3.995967064","90.83847102","54.43896424","9.038224414","9.667077682","65.47472256","0.43397732209974","0.59782961855871","0.55198763547697","28.38"
"KOTA LANGSA","10.05488526","50.41836842","2.582766732","16.16537718","4.132059961","0.128143133","13.70281846","1.684231036","11.24","5.510740447","98.34381044","91.77224371","13.29545455","2.516924565","32.45647969","2.1653833869412","1.4230944180908","2.1858710364888","27.84"
"KOTA LHOKSEUMAWE","10.82338089","50.25628077","2.389092286","18.72873769","4.432072516","0","15.59606022","1.918485295","12.32","4.397141433","97.39256938","47.32094897","15.04476276","8.341539839","8.62354521","2.6558177895677","1.5822990447722","1.9689158962839","29.71"
"KOTA SUBULUSSALAM","11.88369153","49.82185956","1.400860693","13.21960436","4.351466993","1.155812403","27.14616434","2.270378798","19.71","9.505383824","99.81662592","83.11847077","7.54612136","19.58768615","8.362969549","1.9696599482463","1.4458379361882","1.126054776373","3.88"
"NIAS","10.51788769","51.28725843","2.650216545","13.57861801","5.179062842","32.17099559","34.20056335","0.515559896","18.11","16.65514296","98.77860293","43.31058921","1.081916538","51.33260452","2.035661779","2.0071357118048","2.403739969079","2.331162927281","9"
"MANDAILING NATAL","12.02922285","50.91806106","3.706001496","19.0871856","4.285711493","7.469281225","34.32654459","0.953812452","11.02","4.306623281","97.93057606","85.05654992","12.66190285","62.64675119","2.653007361","3.7217478678828","3.6074504895826","2.4266005568136","13.24"
"TAPANULI SELATAN","10.26028185","50.15494679","3.153221168","19.52629127","4.04937984","5.285913935","24.80424962","0.550008565","10.6","4.780866918","100","96.78856344","12.35078321","51.31165201","4.996214989","1.6848841524472","2.1129352867555","1.8793871661801","16.09"
"TAPANULI TENGAH","12.42104624","49.81095286","3.646717981","18.60261232","4.600515857","4.101443383","25.83098667","1.913279457","14.66","5.338925592","98.45369994","62.09468388","15.11231958","37.24715389","17.69668632","3.2118630589422","3.9553117867923","3.6797135741675","19.54"
"TAPANULI UTARA","10.50159798","50.62977292","5.821026072","21.63638885","4.122174456","3.85522119","18.89813945","0.760973409","11.35","4.837727509","99.86132298","99.19567328","9.123561226","23.83441964","15.09360699","1.8234661960393","3.9405874990797","2.2385488962553","18.95"
"TOBA SAMOSIR","11.55632953","50.4064279","6.370034002","20.7458504","3.911597327","4.41258892","16.8888744","0.496716238","10.19","4.32677629","99.79521449","99.04505281","12.74412589","15.62190127","16.54666954","0.74062366378817","1.2331590959287","0.39248019245647","26.15"
"LABUHAN BATU","11.50248238","49.56059913","3.057969859","14.22594509","4.17996667","2.512060346","23.10510031","1.659100552","8.89","4.61040162","99.49478116","99.23866328","9.614068941","9.029032541","4.513639154","2.7677266846984","1.1871456968269","0.88378633265379","22.44"
"ASAHAN","10.73111349","49.78644307","3.957810132","14.59051205","4.018058147","1.062870142","28.07912853","0.808816246","11.67","4.636493997","100","95.67456115","8.922618347","4.053698194","11.25678651","4.3143260735897","4.2369137892954","3.4470490572005","26.62"
"SIMALUNGUN","10.11447579","50.17447593","5.140454873","17.28627145","3.8865822","0.311652073","24.0290718","0.577496872","10.65","3.452988527","98.53052424","98.10653246","5.391399671","5.612455211","34.68080577","4.1478492532573","7.1063093572848","3.766115688478","28.57"
