"KABUPATEN","SoVI_Cutter"
"GORONTALO",15.8600643457281
"LOMBOK TIMUR",13.8323341390166
"INTAN JAYA",13.1834707206212
"POLEWALI MANDAR",13.0284580176889
"YAHUKIMO",12.6852341364212
"PUNCAK",12.2974151472191
"PEGUNUNGAN ARFAK",11.5009918620152
"LOMBOK TENGAH",11.0159039678897
"TANGERANG",10.619417404919
"DOGIYAI",10.4240968173405
"DEIYAI",10.1496399093181
"PUNCAK JAYA",10.0042949438748
"MALUKU TENGAH",9.95469926941088
"NDUGA",9.91772303744088
"MAMBERAMO TENGAH",9.74484184548335
"SUMBA BARAT DAYA",9.68558761181148
"LANNY JAYA",9.56964983771144
"PANIAI",8.84069035462465
"PEGUNUNGAN BINTANG",8.7412983764717
"KOTA TARAKAN",8.48468460703289
"MAMASA",8.06061928177324
"TIMOR TENGAH SELATAN",8.01715420933562
"GUNUNGKIDUL",7.8581953332808
"TOLIKARA",7.83054937843465
"MAMBERAMO RAYA",7.81774843024629
"MAPPI",7.76058918480786
"ACEH UTARA",7.67049280429463
"KOTA BATAM",7.60148310704424
"SERAM BAGIAN BARAT",7.54523316112981
"BUTON",7.47500612043834
"MUNA",7.46902225809857
"JAKARTA TIMUR",7.37066129862243
"NUNUKAN",7.33067183406895
"MAJENE",7.2378750667011
"JAYAWIJAYA",7.0296755598104
"SUMBA BARAT",7.00714402909865
"ASMAT",6.94922827362092
"BANTUL",6.73733437163539
"SUMBA TENGAH",6.39725695820278
"BULELENG",6.21471823232017
"NIAS BARAT",6.17202687903839
"PIDIE",6.10356974202845
"BIREUEN",5.97686047543103
"LOMBOK BARAT",5.89637165004251
"YALIMO",5.88950082863131
"PARIGI MOUTONG",5.58848811289133
"NIAS SELATAN",5.45826514553609
"MANGGARAI TIMUR",5.44195842975885
"HALMAHERA SELATAN",5.35460893692088
"BOALEMO",5.24658428599039
"SERAM BAGIAN TIMUR",5.12815077578148
"NIAS",4.93341791598874
"MALUKU BARAT DAYA",4.83987221461217
"SLEMAN",4.79256085848473
"SABU RAIJUA",4.77783676515324
"BONE BOLANGO",4.71585419544438
"MAMUJU",4.70033230351587
