"KABUPATEN","SoVI_PCA"
"YAHUKIMO",8.46442751702093
"INTAN JAYA",8.34772389864718
"NDUGA",8.25994203509482
"PUNCAK",8.0750144616555
"TOLIKARA",7.93973917066647
"PUNCAK JAYA",7.54473425554857
"LANNY JAYA",7.43497830655706
"MAMBERAMO TENGAH",7.062237846572
"DOGIYAI",6.65140374625252
"MAMBERAMO RAYA",6.4449948363886
"YALIMO",6.11714937361792
"PEGUNUNGAN ARFAK",5.74983478511648
"PANIAI",5.58307083322692
"DEIYAI",5.5520442912565
"MAPPI",5.35807339865518
"ASMAT",5.26224026290277
"PEGUNUNGAN BINTANG",4.88845807722809
"SUMBA BARAT DAYA",4.82072253096556
"JAYAWIJAYA",4.63213312678969
"SUMBA TENGAH",4.61695627897514
"SUMBA BARAT",4.37121683262748
"NIAS",3.58651941096752
"TAMBRAUW",3.35164143821285
"NIAS BARAT",3.30424165470467
"NIAS UTARA",3.16776822640132
"KEPULAUAN ARU",3.10441603327238
"SABU RAIJUA",3.10317786531055
"MANGGARAI TIMUR",3.09731252608841
"NIAS SELATAN",2.94428118835543
"SUPIORI",2.78171016964408
"PULAU TALIABU",2.76710444150595
"SUMBA TIMUR",2.74266573803444
"MALUKU BARAT DAYA",2.70997793713384
"MAYBRAT",2.60613524354556
"SERAM BAGIAN TIMUR",2.56458225224411
"WAROPEN",2.38032471602352
"TELUK WONDAMA",2.36660946875645
"SORONG SELATAN",2.34691724614608
"TIMOR TENGAH SELATAN",2.33056174539217
"LANDAK",2.28941302107586
"MALAKA",2.22645197726771
"SAMPANG",2.18004197147562
"MANOKWARI SELATAN",2.12351614449368
"BOLAANG MONGONDOW SELATAN",2.0944555556035
"ROTE NDAO",2.06250659858879
"BONDOWOSO",2.05565615066384
"BURU SELATAN",1.9756847546978
"BOVEN DIGOEL",1.97542944113947
"LOMBOK UTARA",1.95287001342733
"TIMOR TENGAH UTARA",1.9313933926879
"MANGGARAI BARAT",1.90732452354071
"PROBOLINGGO",1.88773154506973
"KEEROM",1.7793737697692
"KONAWE KEPULAUAN",1.76490281887033
"SERAM BAGIAN BARAT",1.75254850660004
"ACEH SINGKIL",1.7217959928283
"PESISIR BARAT",1.70796743728906
"ACEH BARAT DAYA",1.70498836198462
"KEPULAUAN MERANTI",1.69075260227729
"MUSI RAWAS UTARA",1.64499549801882
"KEPULAUAN MENTAWAI",1.64275187836015
"KOTA SUBULUSSALAM",1.62274888396507
"KUPANG",1.62251483067755
"TOJO UNA-UNA",1.61961571460121
"KAYONG UTARA",1.61625779881511
"GAYO LUES",1.61136659066235
"GORONTALO UTARA",1.6088770413336
"DONGGALA",1.57146750560519
"BANJARNEGARA",1.56777123035662
"BOALEMO",1.56244341136419
"MELAWI",1.53404961642024
"EMPAT LAWANG",1.52842788422435
"SINTANG",1.52139310712253
"POHUWATO",1.49366884877648
"KONAWE UTARA",1.48780838446435
"ALOR",1.472070578623
"SEKADAU",1.45397615154509
"BUTON UTARA",1.44766934807053
"PARIGI MOUTONG",1.43985615994612
"NAGAN RAYA",1.42334912548101
"TELUK BINTUNI",1.41788169823922
"PADANG LAWAS",1.41564230103006
"NAGEKEO",1.4151368781654
"MANGGARAI",1.40551843600081
"OGAN KOMERING ULU SELATAN",1.40462151342249
"BELU",1.40434180460406
"SORONG",1.40107305750189
"SUMENEP",1.38925778261799
"SITUBONDO",1.38336385397333
"MAHAKAM HULU",1.36893081440871
"TANGGAMUS",1.36626938880116
"BANGKALAN",1.35792073517015
"SARMI",1.35619192175237
"PENUKAL ABAB LEMATANG ILIR",1.353631859441
"HALMAHERA TIMUR",1.34863127887888
"MANDAILING NATAL",1.34805915745069
"MURUNG RAYA",1.30194862802779
"BENGKAYANG",1.30146528070975
"PADANG LAWAS UTARA",1.25851593369337
"KAIMANA",1.24235503381286
"KEPULAUAN SELAYAR",1.22314596898948
"BUOL",1.18781613792884
"RAJA AMPAT",1.17549612877749
"PULAU MOROTAI",1.14776430193335
"LAMPUNG BARAT",1.14711869417593
"MALUKU TENGGARA",1.1413744450014
"NABIRE",1.13106462969854
"KOTA TUAL",1.10870021821739
"SIGI",1.09317601199206
"BOMBANA",1.08234415637014
"KAUR",1.07767168544505
"HALMAHERA TENGAH",1.07484433803807
"BOLAANG MONGONDOW UTARA",1.05463908764744
"BANGGAI LAUT",1.04060837645286
"MAMUJU TENGAH",1.04046914820787
"BURU",1.01631160148134
"ACEH TENGGARA",0.995236990464354
"MOROWALI UTARA",0.985919130256562
"BANGGAI KEPULAUAN",0.985232892629852
"PESAWARAN",0.981838470814459
"LUWU",0.95965509309181
"PAMEKASAN",0.938901404590608
"MALUKU TENGGARA BARAT",0.931652456318615
"WAY KANAN",0.919207546169669
